Artist,Song
Post Malone,Blame It On Me
Eminem,Untouchable
YoungBoy Never Broke Again,Lil Top
Major Lazer & DJ Snake Featuring MO,Lean On
Megan Thee Stallion,Thot Shit
Nicki Minaj,Barbie Tingz
NLE Choppa,Shotta Flow 5
The Chainsmokers Featuring Phoebe Ryan,All We Know
Playboi Carti,Magnolia
Juice WRLD,Legends
BTS,DNA
Kygo x Selena Gomez,It Ain't Me
Morgan Evans,Kiss Somebody
Kid Cudi,Beautiful Trip
The Weeknd,Try Me
Migos,Straightenin
BTS,Blue & Grey
Lil Baby & Lil Durk,How It Feels
Travis Scott,Wake Up
Big Sean,Owe Me
Rod Wave,Shock Da World
YoungBoy Never Broke Again,Make No Sense
Alessia Cara,Scars To Your Beautiful
Lil Uzi Vert,Venetia
Daniel Caesar Featuring H,E
Chris Young,Losing Sleep
Polo G,Painting Pictures
The Weeknd Featuring Daft Punk,Starboy
Lil Nas X & Jack Harlow,Industry Baby
DJ Khaled Featuring Drake,For Free
Olivia Rodrigo,All I Want
Lil Uzi Vert,Lotus
Florida Georgia Line,Long Live
Luke Combs,Cold As You
Khalid & Swae Lee,The Ways
Drake,From Florida With Love
Dustin Lynch,Mind Reader
Tyla Yaweh & Post Malone,Tommy Lee
Gera MX + Christian Nodal,Botella Tras Botella
Clinton Kane,I Guess I'm In Love
JAY-Z,Kill Jay Z
Aventura,Inmortal
"Migos, Nicki Minaj & Cardi B",MotorSport
Kane Brown,Homesick
Pharrell Williams x Camila Cabello,Sangria Wine
Kodak Black Featuring Juice WRLD,MoshPit
Miley Cyrus Featuring Dua Lipa,Prisoner
Zedd & Elley Duhe,Happy Now
KALEO,Way Down We Go
Logic,Midnight
Young Thug Featuring Lil Uzi Vert & Yung Kayo,Proud Of You
YoungBoy Never Broke Again,No Where
Drake,8 Out Of 10
Selena Gomez Featuring A$AP Rocky,Good For You
Jason Aldean,Got What I Got
Jennifer Lopez Featuring DJ Khaled & Cardi B,Dinero
Lil Wayne Featuring Nicki Minaj,Dark Side Of The Moon
Kanye West,Remote Control
"Nicki Minaj, Drake & Lil Wayne",Seeing Green
6ix9ine,Gummo
Juice WRLD X Halsey,Life's A Mess
Gucci Mane Featuring Migos,I Get The Bag
Ariana Grande,Needy
King Von Featuring Polo G,The Code
J, Cole
Future & Juice WRLD,Fine China
Justin Bieber,Habitual
Ed Sheeran,Visiting Hours
NF,The Search
Lauren Alaina,Road Less Traveled
A Boogie Wit da Hoodie,Say A'
Rod Wave Featuring ATR Son Son,Rags2Riches
Juice WRLD,Fighting Demons
Chris Brown,Undecided
Juice WRLD,Robbery
David Nail,Night's On Fire
Rod Wave Featuring Polo G,Richer
Lorde,Liability
Young Thug & Gunna Featuring Travis Scott,Diamonds Dancing
Halsey,You Should Be Sad
Dierks Bentley,Living
Harry Styles,Golden
Kodak Black,Everything 1K
Kendrick Lamar Featuring Rihanna,Loyalty
Polo G Featuring G Herbo,Go Part 1
Lil Uzi Vert,Silly Watch
Morgan Wallen,865
YoungBoy Never Broke Again,Baddest Thing
Young Thug Featuring Rowdy Rebel,Came And Saw
Jordan Smith,Somebody To Love
Logic & Marshmello,Everyday
DaBaby,VIBEZ
Billy Currington,Do I Make You Wanna
Ciara,Level Up
Rod Wave,No Weakness
21 Savage,Bank Account
Juice WRLD & Young Thug,Bad Boy
Mark Ronson Featuring Miley Cyrus,Nothing Breaks Like A Heart
Future & Juice WRLD,Astronauts
Moneybagg Yo Featuring Lil Durk & EST Gee,Switches & Dracs
J, Cole
Fifth Harmony Featuring Fetty Wap,All In My Head (Flex)
ScHoolboy Q + Travis Scott,CHopstix
A Boogie Wit da Hoodie,Thug Love
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank
Dean Lewis,Be Alright
Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey
Justin Bieber,Company
"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki
2 Chainz Featuring Kendrick Lamar,Momma I Hit A Lick
Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem)
Kenny Chesney,Bar At The End Of The World
Chris Stapleton,Broken Halos
Loza Alexander,Lets Go Brandon
A Boogie Wit da Hoodie Featuring Offset & Tyga,Startender
J, Cole
MadeinTYO,Uber Everywhere
Meek Mill,Respect The Game
Lil Pump,Gucci Gang
Dawin,Dessert
BlocBoy JB Featuring Drake,Look Alive
BTS Featuring Desiigner,MIC Drop
Famous Dex,Japan
6ix9ine Featuring Bobby Shmurda,STOOPID
Enrique Iglesias Featuring Bad Bunny,El Bano
Pop Smoke Featuring Future,Mr
Big Sean,Jump Out The Window
"Migos, Young Thug & Travis Scott",g n f (Give No Fxk)
Kenny Chesney,Tip Of My Tongue
Billie Eilish,My Strange Addiction
Meek Mill Featuring Justin Timberlake,Believe
Drake,Blue Tint
Future,Jumpin On A Jet
Bad Bunny,Pero Ya No
Childish Gambino,Feels Like Summer
Rod Wave,Don't Forget
Lil Baby,Deep End
Nipsey Hussle Featuring Belly & DOM KENNEDY,Double Up
Chris Brown,Questions
Morgan Wallen Featuring Chris Stapleton,Only Thing That's Gone
Coldplay,Higher Power
Meek Mill Featuring Kehlani,Ride For You
Meek Mill,Trauma
"Tyler, The Creator",OKRA
"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",Relacion
Shawn Mendes,In My Blood
Huncho Jack,Modern Slavery
Rod Wave Featuring Kodak Black,Get Ready
Liam Payne,Bedroom Floor
twenty one pilots,Ride
twenty one pilots,Level Of Concern
Bebe Rexha Featuring Doja Cat,"Baby, I'm Jealous"
Derez De'Shon,Hardaway
Lil Uzi Vert,Secure The Bag
Drake Featuring Kid Cudi,IMY2
Olivia Rodrigo,Favorite Crime
Taylor Swift,Willow
Panic! At The Disco,Emperor's New Clothes
Carrie Underwood & John Legend,Hallelujah
Kip Moore,Last Shot
Ed Sheeran,Hearts Don't Break Around Here
Fetty Wap Featuring Remy Boyz,679
Bebe Rexha & Florida Georgia Line,Meant To Be
XXXTENTACION Featuring PnB Rock & Trippie Redd,Bad Vibes Forever
Miley Cyrus,Midnight Sky
Big Sean,Moves
Agust D,Daechwita
Brett Young,Catch
Kevin Gates,Change Lanes
Lizzo,Good As Hell
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles
XXXTENTACION,Moonlight
PARTYNEXTDOOR Featuring Drake,Come And See Me
Trippie Redd Featuring Juice WRLD,Matt Hardy 999
YNW Melly,Murder On My Mind
KSI x Lil Wayne,Lose
Mac Miller,That's On Me
Rae Sremmurd & Travis Scott,Close
Kendrick Lamar,Lust
Bebe Rexha,I Got You
Prince,When Doves Cry
Black Eyed Peas X Shakira,Girl Like Me
SZA,Good Days
6ix9ine Featuring Anuel AA,BEBE
Moneybagg Yo,Said Sum
iLoveMemphis,Hit The Quan
The Weeknd,Scared To Live
Taylor Swift,Wildest Dreams
John Rich Featuring The Five,Shut Up About Politics
Keith Urban,Break On Me
Conan Gray,Heather
Drake,Papi's Home
Juice WRLD & YoungBoy Never Broke Again,Bandit
Taylor Swift,Betty
Tim McGraw & Tyler Hubbard,Undivided
Adele,When We Were Young
Kane Brown,Ain't No Stopping Us Now
Zedd & Katy Perry,365
DJ Luke Nasty,Might Be
The Weeknd,In The Night
Gunna,One Call
Juice WRLD,I Want It
Quavo Featuring 21 Savage,Pass Out
Adele,Send My Love (To Your New Lover)
Post Malone,Better Now
Pop Smoke,44 Bulldog
DMX,Party Up (Up In Here)
Pop Smoke Featuring Rick Ross & The-Dream,Manslaughter
DaBaby,CHAMPION
Megan Thee Stallion Featuring Young Thug,Don't Stop
Kendrick Lamar,Humble
Rae Sremmurd,Come Get Her
Lil Wayne Featuring Reginae Carter,Famous
John Legend,Happy Xmas (War Is Over)
Enrique Iglesias Feat, Wisin or Tinashe & Javada
Shawn Mendes & Camila Cabello,I Know What You Did Last Summer
Trippie Redd Featuring Drake,Betrayal
Juice WRLD,Titanic
Chris Brown Featuring Drake,No Guidance
"Lil Yachty, Drake & DaBaby",Oprah's Bank Account
Meek Mill,Love Train
Eminem Featuring Skylar Grey,Leaving Heaven
Ariana Grande Featuring Nicki Minaj,The Light Is Coming
Bing Crosby,I'll Be Home For Christmas
Megan Thee Stallion,Savage
Kanye West,Father Stretch My Hands Pt
Keith Urban,Blue Ain't Your Color
Sueco,Paralyzed
Doja Cat Featuring SZA,Kiss Me More
Burl Ives,A Holly Jolly Christmas
YoungBoy Never Broke Again,No Smoke
Lil Wayne,Demon
Iggy Azalea Feauring Tyga,Kream
Ariana Grande,Six Thirty
Ghost Town DJ's,My Boo
Disturbed,The Sound Of Silence
Offset & Metro Boomin,Ric Flair Drip
Panic! At The Disco,Death Of A Bachelor
DeJ Loaf,No Fear
21 Savage & Metro Boomin,My Dawg
Jon Pardi,Head Over Boots
Bad Bunny X Anuel AA,Esta Cabron Ser Yo
Taylor Swift,Gorgeous
Drake,No Friends In The Industry
Offset Featuring  J, Cole
Gunna Featuring Travis Scott,Top Floor
Doja Cat,Candy
Pooh Shiesty Featuring 21 Savage,Box Of Churches
