song,artist
Forever,Justin Bieber Featuring Post Malone & Clever
I Hope You're Happy Now,Carly Pearce & Lee Brice
Know Your Worth,Khalid x Disclosure
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
Dive Bar,Garth Brooks & Blake Shelton
Make No Sense,YoungBoy Never Broke Again
RIP Lil Phat,YoungBoy Never Broke Again
Catch,Brett Young
Before You Go,Lewis Capaldi
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo
My Time,BTS
Long RD,YoungBoy Never Broke Again
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
Filter,BTS
P_$$y Fairy (OTW),Jhene Aiko
Bat Man,YoungBoy Never Broke Again
homecoming queen_,Kelsea Ballerini
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen
The Man,Taylor Swift
Shake The Room,Pop Smoke Featuring Quavo
Rare,Selena Gomez
Come Thru,Summer Walker & Usher
Ridin' Roads,Dustin Lynch
Me And My Guitar,A Boogie Wit da Hoodie
Feel Me,Selena Gomez
Vete,Bad Bunny
SUGAR,BrockHampton
The Box,Roddy Ricch
Life Is Good,Future Featuring Drake
Circles,Post Malone
Dance Monkey,Tones And I
Don't Start Now,Dua Lipa
Roxanne,Arizona Zervas
Memories,Maroon 5
Someone You Loved,Lewis Capaldi
Intentions,Justin Bieber Featuring Quavo
Blinding Lights,The Weeknd
Yummy,Justin Bieber
Everything I Wanted,Billie Eilish
"10,000 Hours",Dan + Shay & Justin Bieber
Heartless,The Weeknd
Hot Girl Bummer,blackbear
No Time To Die,Billie Eilish
Ballin',Mustard & Roddy Ricch
BOP,DaBaby
The Bones,Maren Morris
Adore You,Harry Styles
Lose You To Love Me,Selena Gomez
Good As Hell,Lizzo
Numbers,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track"
Forever,Justin Bieber Featuring Post Malone & Clever
My Oh My,Camila Cabello Featuring DaBaby
High Fashion,Roddy Ricch Featuring Mustard
Falling,Trevor Daniel
Woah,Lil Baby
You Should Be Sad,Halsey
Bad Guy,Billie Eilish
No Guidance,Chris Brown Featuring Drake
Senorita,Shawn Mendes & Camila Cabello
What A Man Gotta Do,Jonas Brothers
Kinfolks,Sam Hunt
HIGHEST IN THE ROOM,Travis Scott
Godzilla,Eminem Featuring Juice WRLD
Trampoline,SHAED
One Man Band,Old Dominion
I Don't Care,Ed Sheeran & Justin Bieber
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
Sucker,Jonas Brothers
Only Human,Jonas Brothers
Homesick,Kane Brown
I Hope,Gabby Barrett Featuring Charlie Puth
Truth Hurts,Lizzo
To Die For,Sam Smith
Tusa,Karol G & Nicki Minaj
g n f (Give No Fxk),"Migos, Young Thug & Travis Scott"
Dior,Pop Smoke
Sum 2 Prove,Lil Baby
Say So,Doja Cat Featuring Nicki Minaj
Juicy,Doja Cat & Tyga
Make Me Want To,Jimmie Allen
Blueberry Faygo,Lil Mosey
Slide,H_E_R_ Featuring YG
Suicidal,YNW Melly & Juice WRLD
BEST ON EARTH,Russ & BIA
Me And My Guitar,A Boogie Wit da Hoodie
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas
Heart On Ice,Rod Wave
Bandit,Juice WRLD & YoungBoy Never Broke Again
Nobody But You,Blake Shelton Duet With Gwen Stefani
What She Wants Tonight,Luke Bryan
I Hope You're Happy Now,Carly Pearce & Lee Brice
Might Not Give Up,A Boogie Wit da Hoodie Featuring Young Thug
I Wish Grandpas Never Died,Riley Green
Out West,JACKBOYS Featuring Young Thug
We Back,Jason Aldean
More Hearts Than Mine,Ingrid Andress
Chasin' You,Morgan Wallen
Slow Dance In A Parking Lot,Jordan Davis
Thug Love,A Boogie Wit da Hoodie
Homemade,Jake Owen
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo
Before You Go,Lewis Capaldi
After Hours,The Weeknd
Know Your Worth,Khalid x Disclosure
Ignorantes,Bad Bunny & Sech
Stain,A Boogie Wit da Hoodie Featuring DaBaby
Yikes,Nicki Minaj
Make No Sense,YoungBoy Never Broke Again
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
Ridin' Roads,Dustin Lynch
Come Around Me,Justin Bieber
Catch,Brett Young
B_I_T_C_H_,Megan Thee Stallion
homecoming queen_,Kelsea Ballerini
Rare,Selena Gomez
King Of My City,A Boogie Wit da Hoodie
Dive Bar,Garth Brooks & Blake Shelton
SUGAR,BrockHampton
Come Thru,Summer Walker & Usher
Cinderella Story,A Boogie Wit da Hoodie
Vete,Bad Bunny
Into The Unknown,Idina Menzel & AURORA
Habitual,Justin Bieber
P_$$y Fairy (OTW),Jhene Aiko
All Around Me,Justin Bieber
The Box,Roddy Ricch
Life Is Good,Future Featuring Drake
Circles,Post Malone
Memories,Maroon 5
Dance Monkey,Tones And I
Don't Start Now,Dua Lipa
Roxanne,Arizona Zervas
Someone You Loved,Lewis Capaldi
"10,000 Hours",Dan + Shay & Justin Bieber
Everything I Wanted,Billie Eilish
Intentions,Justin Bieber Featuring Quavo
Blinding Lights,The Weeknd
Lose You To Love Me,Selena Gomez
Ballin',Mustard & Roddy Ricch
BOP,DaBaby
Hot Girl Bummer,blackbear
Heartless,The Weeknd
The Bones,Maren Morris
Yummy,Justin Bieber
Good As Hell,Lizzo
High Fashion,Roddy Ricch Featuring Mustard
Adore You,Harry Styles
Yikes,Nicki Minaj
Woah,Lil Baby
Falling,Trevor Daniel
My Oh My,Camila Cabello Featuring DaBaby
No Guidance,Chris Brown Featuring Drake
Godzilla,Eminem Featuring Juice WRLD
Bad Guy,Billie Eilish
HIGHEST IN THE ROOM,Travis Scott
You Should Be Sad,Halsey
What A Man Gotta Do,Jonas Brothers
Senorita,Shawn Mendes & Camila Cabello
Kinfolks,Sam Hunt
Trampoline,SHAED
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
Sucker,Jonas Brothers
One Man Band,Old Dominion
Only Human,Jonas Brothers
I Don't Care,Ed Sheeran & Justin Bieber
Truth Hurts,Lizzo
Tusa,Karol G & Nicki Minaj
Juicy,Doja Cat & Tyga
Suicidal,YNW Melly & Juice WRLD
Homesick,Kane Brown
Hot,Young Thug Featuring Gunna
Even Though I'm Leaving,Luke Combs
I Hope,Gabby Barrett Featuring Charlie Puth
Sum 2 Prove,Lil Baby
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
Bandit,Juice WRLD & YoungBoy Never Broke Again
Heartache Medication,Jon Pardi
Make Me Want To,Jimmie Allen
BEST ON EARTH,Russ & BIA
Heart On Ice,Rod Wave
Slide,H_E_R_ Featuring YG
Know Your Worth,Khalid x Disclosure
Say So,Doja Cat Featuring Nicki Minaj
Out West,JACKBOYS Featuring Young Thug
Nobody But You,Blake Shelton Duet With Gwen Stefani
I Do It,Lil Wayne Featuring Big Sean & Lil Baby
Blueberry Faygo,Lil Mosey
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo
What She Wants Tonight,Luke Bryan
VIBEZ,DaBaby
I Wish Grandpas Never Died,Riley Green
More Hearts Than Mine,Ingrid Andress
Run,Joji
We Back,Jason Aldean
P_$$y Fairy (OTW),Jhene Aiko
Before You Go,Lewis Capaldi
B_I_T_C_H_,Megan Thee Stallion
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen
Rodeo,Lil Nas X & Cardi B Or Nas
Homemade,Jake Owen
Slow Dance In A Parking Lot,Jordan Davis
I Hope You're Happy Now,Carly Pearce & Lee Brice
Ridin' Roads,Dustin Lynch
Make No Sense,YoungBoy Never Broke Again
Loyal,PARTYNEXTDOOR Featuring Drake
Chasin' You,Morgan Wallen
SUGAR,BrockHampton
KEII,Anuel AA
Futsal Shuffle 2020,Lil Uzi Vert
Dive Bar,Garth Brooks & Blake Shelton
homecoming queen_,Kelsea Ballerini
Rare,Selena Gomez
No Idea,Don Toliver
Come Thru,Summer Walker & Usher
Believe,Meek Mill Featuring Justin Timberlake
Vete,Bad Bunny
Catch,Brett Young
Into The Unknown,Idina Menzel & AURORA
Start Wit Me,Roddy Ricch & Gunna
Easy,DaniLeigh Featuring Chris Brown
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
No Judgement,Niall Horan
Jerry Sprunger,Tory Lanez & T-Pain
King Of My City,A Boogie Wit da Hoodie
ORANGE SODA,Baby Keem
The Box,Roddy Ricch
Life Is Good,Future Featuring Drake
Circles,Post Malone
Memories,Maroon 5
Dance Monkey,Tones And I
Someone You Loved,Lewis Capaldi
Roxanne,Arizona Zervas
"10,000 Hours",Dan + Shay & Justin Bieber
Don't Start Now,Dua Lipa
Everything I Wanted,Billie Eilish
Lose You To Love Me,Selena Gomez
Ballin',Mustard & Roddy Ricch
BOP,DaBaby
Yummy,Justin Bieber
Blinding Lights,The Weeknd
Good As Hell,Lizzo
Heartless,The Weeknd
The Bones,Maren Morris
Hot Girl Bummer,blackbear
Godzilla,Eminem Featuring Juice WRLD
High Fashion,Roddy Ricch Featuring Mustard
No Guidance,Chris Brown Featuring Drake
Adore You,Harry Styles
Woah,Lil Baby
Bad Guy,Billie Eilish
HIGHEST IN THE ROOM,Travis Scott
Falling,Trevor Daniel
Senorita,Shawn Mendes & Camila Cabello
What A Man Gotta Do,Jonas Brothers
You Should Be Sad,Halsey
My Oh My,Camila Cabello Featuring DaBaby
Trampoline,SHAED
I Do It,Lil Wayne Featuring Big Sean & Lil Baby
Kinfolks,Sam Hunt
Truth Hurts,Lizzo
One Man Band,Old Dominion
Only Human,Jonas Brothers
Sucker,Jonas Brothers
Suicidal,YNW Melly & Juice WRLD
I Don't Care,Ed Sheeran & Justin Bieber
Juicy,Doja Cat & Tyga
Tusa,Karol G & Nicki Minaj
Even Though I'm Leaving,Luke Combs
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
Bandit,Juice WRLD & YoungBoy Never Broke Again
Sum 2 Prove,Lil Baby
Hot,Young Thug Featuring Gunna
Heartache Medication,Jon Pardi
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
Only The Young,Taylor Swift
Homesick,Kane Brown
BEST ON EARTH,Russ & BIA
I Hope,Gabby Barrett Featuring Charlie Puth
Slide,H_E_R_ Featuring YG
Heart On Ice,Rod Wave
Anyone,Demi Lovato
Out West,JACKBOYS Featuring Young Thug
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo
B_I_T_C_H_,Megan Thee Stallion
Physical,Dua Lipa
Mahogany,Lil Wayne
Nobody But You,Blake Shelton Duet With Gwen Stefani
VIBEZ,DaBaby
What She Wants Tonight,Luke Bryan
Make Me Want To,Jimmie Allen
P_$$y Fairy (OTW),Jhene Aiko
Say So,Doja Cat Featuring Nicki Minaj
I Wish Grandpas Never Died,Riley Green
King Of My City,A Boogie Wit da Hoodie
Futsal Shuffle 2020,Lil Uzi Vert
More Hearts Than Mine,Ingrid Andress
We Back,Jason Aldean
Letter To Nipsey,Meek Mill Featuring Roddy Ricch
SUGAR,BrockHampton
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen
I Hope You're Happy Now,Carly Pearce & Lee Brice
Ridin' Roads,Dustin Lynch
No Idea,Don Toliver
Before You Go,Lewis Capaldi
Make No Sense,YoungBoy Never Broke Again
Homemade,Jake Owen
Good News,Mac Miller
Start Wit Me,Roddy Ricch & Gunna
Vete,Bad Bunny
Chasin' You,Morgan Wallen
homecoming queen_,Kelsea Ballerini
Mama Mia,Lil Wayne
Funeral,Lil Wayne
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj
Slow Dance In A Parking Lot,Jordan Davis
Come Thru,Summer Walker & Usher
Jerry Sprunger,Tory Lanez & T-Pain
Get Me,Justin Bieber Featuring Kehlani
Catch,Brett Young
Dive Bar,Garth Brooks & Blake Shelton
Easy,DaniLeigh Featuring Chris Brown
Rare,Selena Gomez
U Played,MoneyBagg Yo Featuring Lil Baby
Camelot,NLE Choppa
ORANGE SODA,Baby Keem
The Box,Roddy Ricch
Life Is Good,Future Featuring Drake
Circles,Post Malone
Memories,Maroon 5
Someone You Loved,Lewis Capaldi
"10,000 Hours",Dan + Shay & Justin Bieber
Dance Monkey,Tones And I
Roxanne,Arizona Zervas
Don't Start Now,Dua Lipa
Everything I Wanted,Billie Eilish
Lose You To Love Me,Selena Gomez
Godzilla,Eminem Featuring Juice WRLD
Good As Hell,Lizzo
BOP,DaBaby
Yummy,Justin Bieber
Ballin',Mustard & Roddy Ricch
Bad Guy,Billie Eilish
Blinding Lights,The Weeknd
Heartless,The Weeknd
HIGHEST IN THE ROOM,Travis Scott
The Bones,Maren Morris
High Fashion,Roddy Ricch Featuring Mustard
Hot Girl Bummer,blackbear
No Guidance,Chris Brown Featuring Drake
Woah,Lil Baby
Senorita,Shawn Mendes & Camila Cabello
Trampoline,SHAED
You Should Be Sad,Halsey
Adore You,Harry Styles
What A Man Gotta Do,Jonas Brothers
B_I_T_C_H_,Megan Thee Stallion
Truth Hurts,Lizzo
Falling,Trevor Daniel
Anyone,Demi Lovato
My Oh My,Camila Cabello Featuring DaBaby
Suicidal,YNW Melly & Juice WRLD
Only Human,Jonas Brothers
Sum 2 Prove,Lil Baby
Sucker,Jonas Brothers
One Man Band,Old Dominion
Even Though I'm Leaving,Luke Combs
Heartache Medication,Jon Pardi
Nobody But You,Blake Shelton Duet With Gwen Stefani
I Don't Care,Ed Sheeran & Justin Bieber
Hot,Young Thug Featuring Gunna
Kinfolks,Sam Hunt
Bandit,Juice WRLD & YoungBoy Never Broke Again
Juicy,Doja Cat & Tyga
Panini,Lil Nas X
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
Tusa,Karol G & Nicki Minaj
Homesick,Kane Brown
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
Good News,Mac Miller
P_$$y Fairy (OTW),Jhene Aiko
I Hope,Gabby Barrett Featuring Charlie Puth
Slide,H_E_R_ Featuring YG
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo
Heart On Ice,Rod Wave
Futsal Shuffle 2020,Lil Uzi Vert
VIBEZ,DaBaby
BEST ON EARTH,Russ & BIA
Out West,JACKBOYS Featuring Young Thug
Graveyard,Halsey
What She Wants Tonight,Luke Bryan
No Idea,Don Toliver
Ridin' Roads,Dustin Lynch
More Hearts Than Mine,Ingrid Andress
SUGAR,BrockHampton
I Wish Grandpas Never Died,Riley Green
Start Wit Me,Roddy Ricch & Gunna
Make Me Want To,Jimmie Allen
Say So,Doja Cat Featuring Nicki Minaj
We Back,Jason Aldean
I Hope You're Happy Now,Carly Pearce & Lee Brice
homecoming queen_,Kelsea Ballerini
U Played,MoneyBagg Yo Featuring Lil Baby
Blue World,Mac Miller
Make No Sense,YoungBoy Never Broke Again
Letter To Nipsey,Meek Mill Featuring Roddy Ricch
Jerry Sprunger,Tory Lanez & T-Pain
Chasin' You,Morgan Wallen
Rare,Selena Gomez
Slow Dance In A Parking Lot,Jordan Davis
Before You Go,Lewis Capaldi
Those Kinda Nights,Eminem Featuring Ed Sheeran
Vete,Bad Bunny
Homemade,Jake Owen
Easy,DaniLeigh Featuring Chris Brown
Come Thru,Summer Walker & Usher
Darkness,Eminem
Camelot,NLE Choppa
Underdog,Alicia Keys
First Man,Camila Cabello
What If I Told You That I Love You,Ali Gatie
Catch,Brett Young
Unaccommodating,Eminem Featuring Young M_A
July,Noah Cyrus & Leon Bridges
You Gon' Learn,Eminem Featuring Royce da 5'9_ & White Gold
Dive Bar,Garth Brooks & Blake Shelton
The Box,Roddy Ricch
Life Is Good,Future Featuring Drake
Godzilla,Eminem Featuring Juice WRLD
Circles,Post Malone
Memories,Maroon 5
"10,000 Hours",Dan + Shay & Justin Bieber
Dance Monkey,Tones And I
Someone You Loved,Lewis Capaldi
Roxanne,Arizona Zervas
Lose You To Love Me,Selena Gomez
Yummy,Justin Bieber
Good As Hell,Lizzo
BOP,DaBaby
Ballin',Mustard & Roddy Ricch
Don't Start Now,Dua Lipa
What A Man Gotta Do,Jonas Brothers
HIGHEST IN THE ROOM,Travis Scott
Good News,Mac Miller
Heartless,The Weeknd
High Fashion,Roddy Ricch Featuring Mustard
Blinding Lights,The Weeknd
The Bones,Maren Morris
Everything I Wanted,Billie Eilish
Trampoline,SHAED
No Guidance,Chris Brown Featuring Drake
You Should Be Sad,Halsey
Hot Girl Bummer,blackbear
Darkness,Eminem
Woah,Lil Baby
Senorita,Shawn Mendes & Camila Cabello
Those Kinda Nights,Eminem Featuring Ed Sheeran
Adore You,Harry Styles
Sum 2 Prove,Lil Baby
Suicidal,YNW Melly & Juice WRLD
Only Human,Jonas Brothers
Unaccommodating,Eminem Featuring Young M_A
Falling,Trevor Daniel
Blue World,Mac Miller
Panini,Lil Nas X
My Oh My,Camila Cabello Featuring DaBaby
Bad Guy,Billie Eilish
Hot,Young Thug Featuring Gunna
Truth Hurts,Lizzo
I Don't Care,Ed Sheeran & Justin Bieber
Even Though I'm Leaving,Luke Combs
One Man Band,Old Dominion
Bandit,Juice WRLD & YoungBoy Never Broke Again
Circles,Mac Miller
Sucker,Jonas Brothers
Juicy,Doja Cat & Tyga
Heartache Medication,Jon Pardi
You Gon' Learn,Eminem Featuring Royce da 5'9_ & White Gold
Kinfolks,Sam Hunt
Graveyard,Halsey
Tusa,Karol G & Nicki Minaj
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
Black Swan,BTS
P_$$y Fairy (OTW),Jhene Aiko
Futsal Shuffle 2020,Lil Uzi Vert
Ridin' Roads,Dustin Lynch
Leaving Heaven,Eminem Featuring Skylar Grey
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
Complicated,Mac Miller
Hand Me Downs,Mac Miller
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo
Homesick,Kane Brown
Premonition (Intro),Eminem
I Can See,Mac Miller
VIBEZ,DaBaby
Slide,H_E_R_ Featuring YG
In Too Deep,Eminem
Heart On Ice,Rod Wave
I Hope,Gabby Barrett Featuring Charlie Puth
Start Wit Me,Roddy Ricch & Gunna
Woods,Mac Miller
Nobody But You,Blake Shelton Duet With Gwen Stefani
No Idea,Don Toliver
SUGAR,BrockHampton
BEST ON EARTH,Russ & BIA
Everybody,Mac Miller
Rare,Selena Gomez
U Played,MoneyBagg Yo Featuring Lil Baby
Marsh,Eminem
No Regrets,Eminem Featuring Don Toliver
Out West,JACKBOYS Featuring Young Thug
More Hearts Than Mine,Ingrid Andress
I Wish Grandpas Never Died,Riley Green
Make Me Want To,Jimmie Allen
Lock It Up,Eminem Featuring Anderson _Paak
What She Wants Tonight,Luke Bryan
Surf,Mac Miller
Say So,Doja Cat Featuring Nicki Minaj
Stepdad,Eminem
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott
We Back,Jason Aldean
homecoming queen_,Kelsea Ballerini
I Hope You're Happy Now,Carly Pearce & Lee Brice
Make No Sense,YoungBoy Never Broke Again
Easy,DaniLeigh Featuring Chris Brown
That's On Me,Mac Miller
The Box,Roddy Ricch
Life Is Good,Future Featuring Drake
Circles,Post Malone
Memories,Maroon 5
Lose You To Love Me,Selena Gomez
Someone You Loved,Lewis Capaldi
"10,000 Hours",Dan + Shay & Justin Bieber
Dance Monkey,Tones And I
Roxanne,Arizona Zervas
Yummy,Justin Bieber
Good As Hell,Lizzo
BOP,DaBaby
Ballin',Mustard & Roddy Ricch
Don't Start Now,Dua Lipa
HIGHEST IN THE ROOM,Travis Scott
Sum 2 Prove,Lil Baby
Good News,Mac Miller
Heartless,The Weeknd
No Guidance,Chris Brown Featuring Drake
Trampoline,SHAED
Woah,Lil Baby
Everything I Wanted,Billie Eilish
The Bones,Maren Morris
Senorita,Shawn Mendes & Camila Cabello
Hot Girl Bummer,blackbear
Adore You,Harry Styles
High Fashion,Roddy Ricch Featuring Mustard
Panini,Lil Nas X
You Should Be Sad,Halsey
Rare,Selena Gomez
Hot,Young Thug Featuring Gunna
Blinding Lights,The Weeknd
Truth Hurts,Lizzo
Only Human,Jonas Brothers
Bandit,Juice WRLD & YoungBoy Never Broke Again
One Man Band,Old Dominion
Even Though I'm Leaving,Luke Combs
I Don't Care,Ed Sheeran & Justin Bieber
Suicidal,YNW Melly & Juice WRLD
Bad Guy,Billie Eilish
Falling,Trevor Daniel
Sucker,Jonas Brothers
Futsal Shuffle 2020,Lil Uzi Vert
My Oh My,Camila Cabello Featuring DaBaby
Juicy,Doja Cat & Tyga
On Chill,Wale Featuring Jeremih
Heartache Medication,Jon Pardi
Talk,Khalid
What If I Never Get Over You,Lady Antebellum
Lover,Taylor Swift
Kinfolks,Sam Hunt
Ridin' Roads,Dustin Lynch
U Played,MoneyBagg Yo Featuring Lil Baby
Playing Games,Summer Walker
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
VIBEZ,DaBaby
Graveyard,Halsey
Heat,Chris Brown Featuring Gunna
Homesick,Kane Brown
Heart On Ice,Rod Wave
Start Wit Me,Roddy Ricch & Gunna
No Idea,Don Toliver
I Hope,Gabby Barrett Featuring Charlie Puth
Out West,JACKBOYS Featuring Young Thug
SUGAR,BrockHampton
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
BEST ON EARTH,Russ & BIA
Tusa,Karol G & Nicki Minaj
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott
Slide,H_E_R_ Featuring YG
We Back,Jason Aldean
What She Wants Tonight,Luke Bryan
Make Me Want To,Jimmie Allen
I Wish Grandpas Never Died,Riley Green
More Hearts Than Mine,Ingrid Andress
Say So,Doja Cat Featuring Nicki Minaj
Camelot,NLE Choppa
Make No Sense,YoungBoy Never Broke Again
Remember You Young,Thomas Rhett
Easy,DaniLeigh Featuring Chris Brown
Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie
Eleven,Khalid
All Dat,Moneybagg Yo X Megan Thee Stallion
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock"
Conversations In The Dark,John Legend
I Hope You're Happy Now,Carly Pearce & Lee Brice
Jerry Sprunger,Tory Lanez & T-Pain
Protect da Brand,Moneybagg Yo Featuring DaBaby
Into The Unknown,Idina Menzel & AURORA
Vete,Bad Bunny
Look At Her Now_,Selena Gomez
homecoming queen_,Kelsea Ballerini
Watermelon Sugar,Harry Styles
Nice To Meet Ya,Niall Horan
July,Noah Cyrus & Leon Bridges
Peta,Roddy Ricch Featuring Meek Mill
223's,YNW Melly & 9lokknine
Slow Dance In A Parking Lot,Jordan Davis
All I Want,Olivia Rodrigo
The Box,Roddy Ricch
Yummy,Justin Bieber
Circles,Post Malone
Memories,Maroon 5
"10,000 Hours",Dan + Shay & Justin Bieber
Someone You Loved,Lewis Capaldi
Dance Monkey,Tones And I
Good As Hell,Lizzo
Roxanne,Arizona Zervas
Lose You To Love Me,Selena Gomez
Ballin',Mustard & Roddy Ricch
BOP,DaBaby
HIGHEST IN THE ROOM,Travis Scott
Don't Start Now,Dua Lipa
No Guidance,Chris Brown Featuring Drake
Trampoline,SHAED
Heartless,The Weeknd
Senorita,Shawn Mendes & Camila Cabello
Everything I Wanted,Billie Eilish
Truth Hurts,Lizzo
Hot,Young Thug Featuring Gunna
Woah,Lil Baby
Panini,Lil Nas X
Adore You,Harry Styles
Only Human,Jonas Brothers
The Bones,Maren Morris
One Man Band,Old Dominion
Bandit,Juice WRLD & YoungBoy Never Broke Again
Hot Girl Bummer,blackbear
Futsal Shuffle 2020,Lil Uzi Vert
Even Though I'm Leaving,Luke Combs
I Don't Care,Ed Sheeran & Justin Bieber
Bad Guy,Billie Eilish
Sucker,Jonas Brothers
High Fashion,Roddy Ricch Featuring Mustard
Lover,Taylor Swift
On Chill,Wale Featuring Jeremih
Falling,Trevor Daniel
Blinding Lights,The Weeknd
What If I Never Get Over You,Lady Antebellum
Suicidal,YNW Melly & Juice WRLD
Talk,Khalid
Graveyard,Halsey
My Oh My,Camila Cabello Featuring DaBaby
Beautiful People,Ed Sheeran Featuring Khalid
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
Ridin' Roads,Dustin Lynch
Juicy,Doja Cat & Tyga
Playing Games,Summer Walker
Suge,DaBaby
Heartache Medication,Jon Pardi
Out West,JACKBOYS Featuring Young Thug
VIBEZ,DaBaby
Kinfolks,Sam Hunt
Heat,Chris Brown Featuring Gunna
Start Wit Me,Roddy Ricch & Gunna
Into The Unknown,Idina Menzel & AURORA
No Idea,Don Toliver
Heart On Ice,Rod Wave
U Played,MoneyBagg Yo Featuring Lil Baby
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo
Homesick,Kane Brown
Remember You Young,Thomas Rhett
I Hope,Gabby Barrett Featuring Charlie Puth
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott
Slide,H_E_R_ Featuring YG
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
BEST ON EARTH,Russ & BIA
SUGAR,BrockHampton
GANG GANG,JACKBOYS & Sheck Wes
Camelot,NLE Choppa
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock"
We Back,Jason Aldean
What She Wants Tonight,Luke Bryan
HAD ENOUGH,Don Toliver Featuring Quavo & Offset
Nice To Meet Ya,Niall Horan
Make Me Want To,Jimmie Allen
Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie
Easy,DaniLeigh Featuring Chris Brown
Watermelon Sugar,Harry Styles
More Hearts Than Mine,Ingrid Andress
I Wish Grandpas Never Died,Riley Green
homecoming queen_,Kelsea Ballerini
223's,YNW Melly & 9lokknine
Peta,Roddy Ricch Featuring Meek Mill
Tusa,Karol G & Nicki Minaj
Jerry Sprunger,Tory Lanez & T-Pain
Enemies,Post Malone Featuring DaBaby
All I Want,Olivia Rodrigo
July,Noah Cyrus & Leon Bridges
Vete,Bad Bunny
I Hope You're Happy Now,Carly Pearce & Lee Brice
20_20,Lil Tjay
Say So,Doja Cat Featuring Nicki Minaj
Make No Sense,YoungBoy Never Broke Again
Slow Dance In A Parking Lot,Jordan Davis
ORANGE SODA,Baby Keem
All Dat,Moneybagg Yo X Megan Thee Stallion
WHAT TO DO_,JACKBOYS Featuring Don Toliver
Circles,Post Malone
Memories,Maroon 5
The Box,Roddy Ricch
Someone You Loved,Lewis Capaldi
Roxanne,Arizona Zervas
Good As Hell,Lizzo
Dance Monkey,Tones And I
HIGHEST IN THE ROOM,Travis Scott
"10,000 Hours",Dan + Shay & Justin Bieber
Lose You To Love Me,Selena Gomez
Senorita,Shawn Mendes & Camila Cabello
Ballin',Mustard & Roddy Ricch
BOP,DaBaby
Bad Guy,Billie Eilish
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
No Guidance,Chris Brown Featuring Drake
Panini,Lil Nas X
Truth Hurts,Lizzo
Trampoline,SHAED
Heartless,The Weeknd
Don't Start Now,Dua Lipa
Bandit,Juice WRLD & YoungBoy Never Broke Again
Everything I Wanted,Billie Eilish
Hot,Young Thug Featuring Gunna
Only Human,Jonas Brothers
One Man Band,Old Dominion
Woah,Lil Baby
I Don't Care,Ed Sheeran & Justin Bieber
Sucker,Jonas Brothers
Even Though I'm Leaving,Luke Combs
Falling,Trevor Daniel
Hot Girl Bummer,blackbear
Ran$om,Lil Tecca
Lover,Taylor Swift
Adore You,Harry Styles
The Bones,Maren Morris
Graveyard,Halsey
Out West,JACKBOYS Featuring Young Thug
On Chill,Wale Featuring Jeremih
Talk,Khalid
Suicidal,YNW Melly & Juice WRLD
Beautiful People,Ed Sheeran Featuring Khalid
Suge,DaBaby
